year,quarter,state,category,total_count,total_amount
2018,2,uttarakhand,Others,140661.0,156456415.26582056
2018,2,uttarakhand,Peer-to-peer payments,1861470.0,7076825594.304634
2018,2,uttarakhand,Recharge & bill payments,2838996.0,581406278.4704622
2018,2,west-bengal,Financial Services,3364710.0,482429057.8165916
2018,2,west-bengal,Merchant payments,2812824.0,2147743082.457711
2018,2,west-bengal,Others,1133406.0,896184608.2299762
2018,2,west-bengal,Peer-to-peer payments,24854832.0,47669670140.58844
2018,2,west-bengal,Recharge & bill payments,22081566.0,4691523521.518986
2018,3,andaman-&-nicobar-islands,Financial Services,126.0,4444.472112841946
2018,3,andaman-&-nicobar-islands,Merchant payments,2835.0,4882079.518460413
2018,3,andaman-&-nicobar-islands,Others,582.0,943030.1823214598
2018,3,andaman-&-nicobar-islands,Peer-to-peer payments,19344.0,147812344.62490514
2018,3,andaman-&-nicobar-islands,Recharge & bill payments,25908.0,13030514.605133487
2018,3,andhra-pradesh,Financial Services,1140972.0,182370232.72311926
2018,3,andhra-pradesh,Merchant payments,3676248.0,2055831763.5228634
2018,3,andhra-pradesh,Others,1046175.0,852746026.7100606
2018,3,andhra-pradesh,Peer-to-peer payments,48388773.0,98215891334.00616
2018,3,andhra-pradesh,Recharge & bill payments,22626015.0,5847294440.682578
2018,3,arunachal-pradesh,Financial Services,1521.0,216401.53576463403
2018,3,arunachal-pradesh,Merchant payments,14214.0,16517083.703740288
2018,3,arunachal-pradesh,Others,6117.0,6134126.906342392
2018,3,arunachal-pradesh,Peer-to-peer payments,149220.0,924318910.3602773
2018,3,arunachal-pradesh,Recharge & bill payments,222366.0,47992697.71804949
2018,3,assam,Financial Services,68031.0,14223371.465640346
2018,3,assam,Merchant payments,478596.0,290351518.12400824
2018,3,assam,Others,152805.0,92712743.65435769
2018,3,assam,Peer-to-peer payments,2530713.0,10272410128.526463
2018,3,assam,Recharge & bill payments,3825408.0,763707207.9723523
2018,3,bihar,Financial Services,823530.0,99829381.35640039
2018,3,bihar,Merchant payments,1760586.0,1102825532.1785343
2018,3,bihar,Others,633687.0,704906463.9361906
2018,3,bihar,Peer-to-peer payments,26681292.0,56087667563.68297
2018,3,bihar,Recharge & bill payments,13204317.0,2412184195.5499396
2018,3,chandigarh,Financial Services,22926.0,3906934.790386251
2018,3,chandigarh,Merchant payments,194994.0,112681697.92160606
2018,3,chandigarh,Others,37479.0,36702567.973742396
2018,3,chandigarh,Peer-to-peer payments,886074.0,3652853117.9045286
2018,3,chandigarh,Recharge & bill payments,709335.0,301919024.0126715
2018,3,chhattisgarh,Financial Services,95781.0,18585537.47099834
2018,3,chhattisgarh,Merchant payments,661716.0,436026198.04132426
2018,3,chhattisgarh,Others,227535.0,178080251.25507012
2018,3,chhattisgarh,Peer-to-peer payments,4859658.0,16943847563.243843
2018,3,chhattisgarh,Recharge & bill payments,5734122.0,1330381670.3277104
2018,3,dadra-&-nagar-haveli-&-daman-&-diu,Financial Services,4431.0,892943.6876954567
2018,3,dadra-&-nagar-haveli-&-daman-&-diu,Merchant payments,22395.0,17080814.232378244
2018,3,dadra-&-nagar-haveli-&-daman-&-diu,Others,12522.0,15478312.002302878
2018,3,dadra-&-nagar-haveli-&-daman-&-diu,Peer-to-peer payments,358038.0,1190094256.2313657
2018,3,dadra-&-nagar-haveli-&-daman-&-diu,Recharge & bill payments,471339.0,119372460.88078368
2018,3,delhi,Financial Services,823578.0,135153454.05429107
2018,3,delhi,Merchant payments,11425185.0,3145267901.1280727
2018,3,delhi,Others,1804017.0,1051217748.4569558
2018,3,delhi,Peer-to-peer payments,25671459.0,68010368666.60465
2018,3,delhi,Recharge & bill payments,15916905.0,9785532811.611723
2018,3,goa,Financial Services,5601.0,1404514.0945195465
2018,3,goa,Merchant payments,64761.0,79902594.53655304
2018,3,goa,Others,20889.0,18843625.862263918
2018,3,goa,Peer-to-peer payments,450891.0,1918405254.3951006
2018,3,goa,Recharge & bill payments,476391.0,120944918.82626513
2018,3,gujarat,Financial Services,409404.0,74791816.82201917
2018,3,gujarat,Merchant payments,1720320.0,1398628490.4045334
2018,3,gujarat,Others,659619.0,493432491.4184406
2018,3,gujarat,Peer-to-peer payments,15861600.0,45818235413.27791
2018,3,gujarat,Recharge & bill payments,15351504.0,5814125066.903561
2018,3,haryana,Financial Services,301356.0,51971372.44251047
2018,3,haryana,Merchant payments,3009171.0,1282162913.8006115
2018,3,haryana,Others,603444.0,571517122.4208543
